id_entrada,id_camara,latitud,longitud,nivel_ocupacion,anio,mes,dia,hora,minuto,carretera_numero,carretera_letra_A,carretera_letra_M,carretera_letra_N,franja_horaria_mañana,franja_horaria_noche,franja_horaria_tarde
12278,864,0.6108236519248962,0.42112096826795664,1,0.0,0.9,0.9333333333333333,0.1333333333333333,0.2711864406779661,0.5555555555555556,1,0,0,1,0,0
4307,169709,0.9975125810330283,0.05864019978113433,0,0.0,1.0,0.1,0.06666666666666665,0.7457627118644068,1.0,0,1,0,1,0,0
10010,731,0.45646899988401657,0.50958198524427,0,0.0,1.0,0.26666666666666666,0.7333333333333333,0.576271186440678,0.3333333333333333,1,0,0,0,1,0
10652,773,0.3913797846239504,0.4282983962148048,0,0.0,1.0,0.23333333333333334,0.19999999999999996,0.5254237288135594,0.7777777777777777,1,0,0,1,0,0
15432,971,0.40704053883786884,0.5328174215318588,0,0.0,1.0,0.0,0.7999999999999999,0.6271186440677966,0.8888888888888888,0,1,0,0,1,0
4252,169709,0.9975125810330283,0.05864019978113433,0,0.0,1.0,0.0,0.19999999999999996,0.6949152542372882,1.0,0,1,0,1,0,0
5313,174943,0.6415541097763082,0.3012793298963974,1,0.0,1.0,0.0,0.4666666666666667,0.2542372881355932,0.5555555555555556,1,0,0,0,0,1
12377,864,0.6108236519248962,0.42112096826795664,1,0.0,1.0,0.03333333333333333,0.4666666666666667,0.847457627118644,0.5555555555555556,1,0,0,0,0,1
9023,696,0.5162847645518767,0.5936183613955786,1,1.0,0.0,0.4,0.4,0.423728813559322,0.2222222222222222,1,0,0,0,0,1
10054,731,0.45646899988401657,0.50958198524427,1,1.0,0.1,0.3333333333333333,0.5333333333333333,0.5254237288135594,0.3333333333333333,1,0,0,0,0,1
8361,677,0.6373937395366696,0.8278716816602261,1,0.0,0.9,0.9,0.06666666666666665,0.23728813559322035,0.1111111111111111,1,0,0,1,0,0
11961,826,0.6180375146059092,0.3329557369408187,1,0.0,0.9,0.9999999999999999,0.5333333333333333,0.6610169491525424,0.6666666666666666,0,1,0,0,0,1
2777,1162,0.6869440126298514,0.2520451538214328,1,0.0,1.0,0.5,0.2666666666666666,0.11864406779661017,0.5555555555555556,1,0,0,1,0,0
758,1097,0.7301518958260118,1.0,1,0.0,0.9,0.9999999999999999,0.06666666666666665,0.423728813559322,0.1111111111111111,1,0,0,1,0,0
8956,696,0.5162847645518767,0.5936183613955786,1,0.0,1.0,0.26666666666666666,0.7999999999999999,0.15254237288135594,0.2222222222222222,1,0,0,0,1,0
8270,673,0.6929351794137446,0.9517160537892702,1,0.0,1.0,0.26666666666666666,0.7999999999999999,0.7457627118644068,0.1111111111111111,1,0,0,0,1,0
4579,169741,0.6020343821769174,0.43189900371090495,0,0.0,1.0,0.0,0.06666666666666665,0.9152542372881356,0.5555555555555556,1,0,0,1,0,0
11085,791,0.5094577827175755,0.36292783974442244,1,0.0,1.0,0.3333333333333333,0.7333333333333333,0.0847457627118644,0.4444444444444444,1,0,0,0,1,0
5752,174945,0.6658280702017905,0.26461673248375206,0,0.0,1.0,0.13333333333333333,0.19999999999999996,0.2033898305084746,0.5555555555555556,1,0,0,1,0,0
8398,677,0.6373937395366696,0.8278716816602261,2,0.0,0.9,0.9666666666666667,0.06666666666666665,0.9491525423728814,0.1111111111111111,1,0,0,1,0,0
4004,169708,1.0,0.06946631009468351,0,0.0,1.0,0.13333333333333333,0.4,0.6271186440677966,1.0,0,1,0,0,0,1
3648,169372,0.4662083173749707,0.4462925448520396,1,0.0,1.0,0.13333333333333333,0.06666666666666665,0.4406779661016949,0.7777777777777777,1,0,0,1,0,0
15852,169372,0.4662083173749707,0.4462925448520396,0,1.0,0.1,0.43333333333333335,0.6,0.576271186440678,0.7777777777777777,1,0,0,0,0,1
9495,726,0.2948577487286883,0.9320529309333123,0,0.0,1.0,0.0,0.4666666666666667,0.864406779661017,0.2222222222222222,1,0,0,0,0,1
2894,1676,0.3386080077479079,0.48757070542736525,0,0.0,1.0,0.0,0.1333333333333333,0.8135593220338984,0.3333333333333333,1,0,0,1,0,0
7520,660,0.6064915988766444,0.6001310040223897,0,0.0,1.0,0.26666666666666666,0.1333333333333333,0.9661016949152542,0.1111111111111111,1,0,0,1,0,0
8645,677,0.6373937395366696,0.8278716816602261,0,0.0,1.0,0.5,0.06666666666666665,0.4576271186440678,0.1111111111111111,1,0,0,1,0,0
10057,731,0.45646899988401657,0.50958198524427,1,1.0,0.1,0.4,0.5333333333333333,0.4067796610169492,0.3333333333333333,1,0,0,0,0,1
9584,726,0.2948577487286883,0.9320529309333123,0,0.0,1.0,0.16666666666666669,0.1333333333333333,0.3389830508474576,0.2222222222222222,1,0,0,1,0,0
10536,773,0.3913797846239504,0.4282983962148048,0,0.0,1.0,0.0,0.5333333333333333,0.4576271186440678,0.7777777777777777,1,0,0,0,0,1
14895,926,0.4875471901733732,0.48148372571733944,1,0.0,1.0,0.13333333333333333,0.4,0.6271186440677966,0.6666666666666666,0,1,0,0,0,1
15376,971,0.40704053883786884,0.5328174215318588,2,0.0,0.9,0.9,0.4666666666666667,0.7627118644067796,0.8888888888888888,0,1,0,0,0,1
11776,799,0.4740559392516843,0.31156159323626653,0,0.0,1.0,0.26666666666666666,0.2666666666666666,0.7288135593220338,0.4444444444444444,1,0,0,1,0,0
12668,866,0.5850760981093899,0.4510876376096231,1,0.0,0.9,0.9666666666666667,0.4,0.0847457627118644,0.5555555555555556,1,0,0,0,0,1
10825,791,0.5094577827175755,0.36292783974442244,2,0.0,0.9,0.9333333333333333,0.06666666666666665,0.6949152542372882,0.4444444444444444,1,0,0,1,0,0
6295,598,0.7055544568968415,0.5359360283721868,0,0.0,0.9,0.8666666666666667,0.33333333333333337,0.9661016949152542,0.0,1,0,0,0,0,1
828,1097,0.7301518958260118,1.0,0,0.0,1.0,0.1,0.06666666666666665,0.15254237288135594,0.1111111111111111,1,0,0,1,0,0
3083,1676,0.3386080077479079,0.48757070542736525,1,0.0,1.0,0.26666666666666666,0.7333333333333333,0.2711864406779661,0.3333333333333333,1,0,0,0,1,0
12356,864,0.6108236519248962,0.42112096826795664,0,0.0,1.0,0.0,0.6666666666666666,0.5423728813559322,0.5555555555555556,1,0,0,0,0,1
827,1097,0.7301518958260118,1.0,1,0.0,1.0,0.06666666666666668,0.1333333333333333,0.6271186440677966,0.1111111111111111,1,0,0,1,0,0
14067,877,0.6031107895795955,0.43031403532075796,0,0.0,0.9,0.9333333333333333,0.1333333333333333,0.864406779661017,0.5555555555555556,1,0,0,1,0,0
5638,174945,0.6658280702017905,0.26461673248375206,1,0.0,0.9,0.9666666666666667,0.5333333333333333,0.2542372881355932,0.5555555555555556,1,0,0,0,0,1
5119,174942,0.6299834255511314,0.3341304914741601,1,0.0,1.0,0.26666666666666666,0.6666666666666666,0.1016949152542373,0.5555555555555556,1,0,0,0,0,1
10011,731,0.45646899988401657,0.50958198524427,0,0.0,1.0,0.26666666666666666,0.7333333333333333,0.864406779661017,0.3333333333333333,1,0,0,0,1,0
14972,926,0.4875471901733732,0.48148372571733944,1,0.0,1.0,0.26666666666666666,0.5333333333333333,0.6271186440677966,0.6666666666666666,0,1,0,0,0,1
11155,798,0.5412507408992866,0.40518865568264406,1,0.0,0.9,0.8666666666666667,0.33333333333333337,0.9830508474576272,0.4444444444444444,1,0,0,0,0,1
1308,1125,0.5480429550526225,0.4211460072630615,2,0.0,1.0,0.3333333333333333,0.1333333333333333,0.15254237288135594,0.4444444444444444,1,0,0,1,0,0
12785,866,0.5850760981093899,0.4510876376096231,1,0.0,1.0,0.13333333333333333,0.1333333333333333,0.6271186440677966,0.5555555555555556,1,0,0,1,0,0
3402,1690,0.0,0.5597406010185111,0,0.0,1.0,0.3333333333333333,0.4666666666666667,0.576271186440678,0.3333333333333333,1,0,0,0,0,1
8946,696,0.5162847645518767,0.5936183613955786,1,0.0,1.0,0.26666666666666666,0.6,0.22033898305084745,0.2222222222222222,1,0,0,0,0,1
7337,660,0.6064915988766444,0.6001310040223897,2,0.0,0.9,0.9666666666666667,0.06666666666666665,0.6440677966101694,0.1111111111111111,1,0,0,1,0,0
5433,174943,0.6415541097763082,0.3012793298963974,1,0.0,1.0,0.23333333333333334,0.19999999999999996,0.8305084745762712,0.5555555555555556,1,0,0,1,0,0
9668,726,0.2948577487286883,0.9320529309333123,1,0.0,1.0,0.3333333333333333,0.6666666666666666,0.8135593220338984,0.2222222222222222,1,0,0,0,0,1
2013,1160,0.6194835858996726,0.4117363529026017,0,0.0,1.0,0.26666666666666666,0.6666666666666666,1.0,0.5555555555555556,1,0,0,0,0,1
6523,598,0.7055544568968415,0.5359360283721868,0,0.0,1.0,0.23333333333333334,0.33333333333333337,0.0,0.0,1,0,0,0,0,1
4421,169709,0.9975125810330283,0.05864019978113433,0,0.0,1.0,0.26666666666666666,0.7333333333333333,0.2711864406779661,1.0,0,1,0,0,1,0
15761,972,0.3866694592068072,0.5062635672230043,1,0.0,1.0,0.3333333333333333,0.6,0.05084745762711865,0.8888888888888888,0,1,0,0,0,1
3566,169372,0.4662083173749707,0.4462925448520396,0,0.0,1.0,0.0,0.2666666666666666,0.288135593220339,0.7777777777777777,1,0,0,1,0,0
15085,967,0.40532857822714163,0.37085393364491015,0,0.0,0.9,0.9,0.4666666666666667,0.7627118644067796,0.8888888888888888,0,1,0,0,0,1
12172,826,0.6180375146059092,0.3329557369408187,2,0.0,1.0,0.3333333333333333,0.6666666666666666,0.7966101694915254,0.6666666666666666,0,1,0,0,0,1
6817,634,0.6051857247795951,0.54005995086598,0,0.0,1.0,0.1,0.5333333333333333,0.15254237288135594,0.1111111111111111,1,0,0,0,0,1
14366,877,0.6031107895795955,0.43031403532075796,0,0.0,1.0,0.5333333333333333,0.4,0.15254237288135594,0.5555555555555556,1,0,0,0,0,1
87,1004,0.6857702557204703,0.462843445811421,1,0.0,0.9,0.9999999999999999,0.19999999999999996,0.01694915254237288,0.6666666666666666,0,1,0,1,0,0
3991,169708,1.0,0.06946631009468351,1,0.0,1.0,0.13333333333333333,0.06666666666666665,0.13559322033898305,1.0,0,1,0,1,0,0
12886,866,0.5850760981093899,0.4510876376096231,1,0.0,1.0,0.26666666666666666,0.7999999999999999,0.7457627118644068,0.5555555555555556,1,0,0,0,1,0
11804,799,0.4740559392516843,0.31156159323626653,1,0.0,1.0,0.3333333333333333,0.4666666666666667,0.8813559322033898,0.4444444444444444,1,0,0,0,0,1
4305,169709,0.9975125810330283,0.05864019978113433,0,0.0,1.0,0.1,0.06666666666666665,0.15254237288135594,1.0,0,1,0,1,0,0
7842,668,0.6306287137098465,0.8009725396088738,2,0.0,1.0,0.2,0.4,0.23728813559322035,0.1111111111111111,1,0,0,0,0,1
5612,174945,0.6658280702017905,0.26461673248375206,1,0.0,0.9,0.9333333333333333,0.33333333333333337,0.559322033898305,0.5555555555555556,1,0,0,0,0,1
5173,174942,0.6299834255511314,0.3341304914741601,0,0.0,1.0,0.5,0.06666666666666665,0.7457627118644068,0.5555555555555556,1,0,0,1,0,0
11045,791,0.5094577827175755,0.36292783974442244,1,0.0,1.0,0.26666666666666666,0.1333333333333333,0.9661016949152542,0.4444444444444444,1,0,0,1,0,0
6868,634,0.6051857247795951,0.54005995086598,1,0.0,1.0,0.2,0.19999999999999996,0.23728813559322035,0.1111111111111111,1,0,0,1,0,0
6032,175471,0.9062947025458001,0.0,0,0.0,1.0,0.0,0.4,0.06779661016949153,0.5555555555555556,0,0,1,0,0,1
11099,791,0.5094577827175755,0.36292783974442244,1,0.0,1.0,0.43333333333333335,0.1333333333333333,0.711864406779661,0.4444444444444444,1,0,0,1,0,0
6085,175471,0.9062947025458001,0.0,2,0.0,1.0,0.1,0.33333333333333337,0.13559322033898305,0.5555555555555556,0,0,1,0,0,1
6952,634,0.6051857247795951,0.54005995086598,1,0.0,1.0,0.3333333333333333,0.7999999999999999,0.559322033898305,0.1111111111111111,1,0,0,0,1,0
14880,926,0.4875471901733732,0.48148372571733944,1,0.0,1.0,0.1,0.8666666666666666,0.6440677966101694,0.6666666666666666,0,1,0,0,1,0
15943,799,0.4740559392516843,0.31156159323626653,1,1.0,0.1,0.6333333333333333,0.5333333333333333,0.423728813559322,0.4444444444444444,1,0,0,0,0,1
9878,731,0.45646899988401657,0.50958198524427,0,0.0,1.0,0.06666666666666668,0.1333333333333333,0.3220338983050847,0.3333333333333333,1,0,0,1,0,0
5195,174942,0.6299834255511314,0.3341304914741601,1,1.0,0.0,0.4,0.7333333333333333,0.6949152542372882,0.5555555555555556,1,0,0,0,1,0
10410,771,0.35936848540578836,0.40862776166031534,1,0.0,1.0,0.5333333333333333,0.33333333333333337,0.8813559322033898,0.7777777777777777,1,0,0,0,0,1
9697,726,0.2948577487286883,0.9320529309333123,0,0.0,1.0,0.5,0.06666666666666665,0.7627118644067796,0.2222222222222222,1,0,0,1,0,0
8533,677,0.6373937395366696,0.8278716816602261,1,0.0,1.0,0.16666666666666669,0.06666666666666665,0.7457627118644068,0.1111111111111111,1,0,0,1,0,0
961,1097,0.7301518958260118,1.0,1,0.0,1.0,0.3666666666666667,0.06666666666666665,0.6271186440677966,0.1111111111111111,1,0,0,1,0,0
5881,174945,0.6658280702017905,0.26461673248375206,0,0.0,1.0,0.43333333333333335,0.19999999999999996,0.5932203389830508,0.5555555555555556,1,0,0,1,0,0
1027,1125,0.5480429550526225,0.4211460072630615,0,0.0,0.9,0.8666666666666667,0.4,0.9661016949152542,0.4444444444444444,1,0,0,0,0,1
6710,634,0.6051857247795951,0.54005995086598,1,0.0,0.9,0.9666666666666667,0.06666666666666665,0.6440677966101694,0.1111111111111111,1,0,0,1,0,0
12731,866,0.5850760981093899,0.4510876376096231,2,0.0,1.0,0.03333333333333333,0.33333333333333337,0.1864406779661017,0.5555555555555556,1,0,0,0,0,1
4417,169709,0.9975125810330283,0.05864019978113433,0,0.0,1.0,0.26666666666666666,0.6666666666666666,0.1016949152542373,1.0,0,1,0,0,0,1
