epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
57,46639.7,0.94304,0.48098,0.96657,0.90072,0.9317,0.97124,0.73526,0.99247,0.49152,1.00734,0.000557,0.000557,0.000557
58,47524.5,0.93108,0.51974,0.98215,0.88701,0.92423,0.96861,0.72137,0.99489,0.51634,0.99873,0.000544625,0.000544625,0.000544625
59,48452.1,0.92187,0.47903,0.96765,0.87819,0.9387,0.96488,0.72005,0.99855,0.49918,1.00144,0.00053225,0.00053225,0.00053225
60,49263,0.9392,0.48631,0.97594,0.91703,0.91035,0.96777,0.7265,1.0061,0.49261,1.00659,0.000519875,0.000519875,0.000519875
61,50108.5,0.9492,0.49068,0.97771,0.89964,0.90502,0.96385,0.72872,0.97939,0.48881,0.99848,0.0005075,0.0005075,0.0005075
62,50953.1,0.9142,0.47747,0.97059,0.90238,0.91249,0.9679,0.72684,1.00612,0.50526,1.00253,0.000495125,0.000495125,0.000495125
63,51723.6,0.92698,0.50665,0.96595,0.89499,0.92209,0.96154,0.71304,1.03285,0.49772,1.00436,0.00048275,0.00048275,0.00048275
64,52487.7,0.91881,0.47669,0.96072,0.90364,0.93063,0.96298,0.71825,1.02379,0.50547,1.00406,0.000470375,0.000470375,0.000470375
65,53262.3,0.91314,0.46364,0.95774,0.90577,0.92331,0.96699,0.72935,0.99565,0.48472,0.99501,0.000458,0.000458,0.000458
66,54046.1,0.8937,0.47329,0.9641,0.91172,0.90502,0.96495,0.72728,0.99456,0.4976,0.99865,0.000445625,0.000445625,0.000445625
67,54823.4,0.89401,0.47141,0.96635,0.9089,0.91462,0.96446,0.73207,0.98042,0.4821,0.9961,0.00043325,0.00043325,0.00043325
68,55593,0.87999,0.45158,0.96599,0.91105,0.90728,0.96389,0.7307,1.00861,0.49057,1.00758,0.000420875,0.000420875,0.000420875
69,56370.1,0.90812,0.47955,0.96589,0.91405,0.91929,0.9724,0.73597,1.00201,0.48006,1.00439,0.0004085,0.0004085,0.0004085
70,57145.7,0.90675,0.74306,0.96226,0.90336,0.92776,0.96894,0.73131,1.00179,0.48231,0.99943,0.000396125,0.000396125,0.000396125
71,57914.9,0.89046,0.49735,0.96304,0.90017,0.92386,0.96375,0.72539,0.98387,0.4922,0.99411,0.00038375,0.00038375,0.00038375
72,58686.7,0.87394,0.44687,0.9435,0.90758,0.92209,0.96965,0.72802,1.01113,0.49768,1.00703,0.000371375,0.000371375,0.000371375
73,59454.6,0.87116,0.44874,0.94014,0.91667,0.92741,0.97028,0.72805,1.00893,0.50612,1.00678,0.000359,0.000359,0.000359
74,60221.3,0.87731,0.44938,0.94777,0.90423,0.93063,0.96551,0.72145,1.0101,0.4871,1.00981,0.000346625,0.000346625,0.000346625
75,60987.1,0.88637,0.44376,0.9485,0.91479,0.91658,0.96765,0.72631,1.01392,0.48554,1.0074,0.00033425,0.00033425,0.00033425
76,61751.3,0.87055,0.4636,0.93987,0.89101,0.92743,0.96706,0.72886,0.99846,0.48865,0.99903,0.000321875,0.000321875,0.000321875
77,62534.2,0.87586,0.45097,0.94815,0.91619,0.91889,0.96722,0.73459,0.98187,0.47642,0.99535,0.0003095,0.0003095,0.0003095
78,63306.5,0.84953,0.43485,0.9483,0.9021,0.93276,0.97093,0.73381,0.99143,0.4684,1.00132,0.000297125,0.000297125,0.000297125
79,64072,0.86924,0.45107,0.95703,0.91314,0.91998,0.9712,0.73349,0.99594,0.48744,0.99584,0.00028475,0.00028475,0.00028475
